Country,Count,Hauptstadt,Coordinates,Latitude,Longitude
Schweiz,315,Bern,"(46.946416, 7.396394)",46.946416,7.396394
Deutschland,69,Berlin,"(52.524932, 13.407032)",52.524932,13.407032
Israel,49,Jerusalem,"(31.759595, 35.215315)",31.759595,35.215315
Italien,34,Rom,"(41.878243, 12.528091)",41.878243,12.528091
Frankreich,32,Paris,"(48.858705, 2.342865)",48.858705,2.342865
Ukraine,20,Kiew,"(50.469863, 30.431971)",50.469863,30.431971
Brasilien,19,Brasília,"(-11.929178, -49.542799)",-11.929178,-49.542799
Spanien,17,Madrid,"(40.429913, -3.669245)",40.429913,-3.669245
Österreich,17,Wien,"(48.198674, 16.348388)",48.198674,16.348388
Türkei,14,Ankara,"(39.91987, 32.85427)",39.91987,32.85427
Japan,12,Tokio,"(35.695126, 139.75391)",35.695126,139.75391
Australien,12,Canberra,"(-35.470057, 148.954507)",-35.470057,148.954507
Vereinigtes Königreich,12,London,"(51.509648, -0.099076)",51.509648,-0.099076
Kosovo,12,Priština,"(42.67272, 21.16688)",42.67272,21.16688
Kosovo,12,Pristina,"(42.67272, 21.16688)",42.67272,21.16688
Katar,10,Doha,"(25.251557, 51.564826)",25.251557,51.564826
Argentinien,9,Buenos Aires,"(-34.607357, -58.454595)",-34.607357,-58.454595
Portugal,9,Lissabon,"(38.748243, -9.140093)",38.748243,-9.140093
Schweden,9,Stockholm,"(59.275254, 18.035164)",59.275254,18.035164
Russland,9,Moskau,"(55.741469, 37.615561)",55.741469,37.615561
Dänemark,9,Kopenhagen,"(55.704438, 12.502119)",55.704438,12.502119
Iran,9,Teheran,"(35.69439, 51.42151)",35.69439,51.42151
Rumänien,8,Bukarest,"(44.435842, 26.085733)",44.435842,26.085733
Mexiko,7,Mexiko-Stadt,"(19.371422, -99.150344)",19.371422,-99.150344
Ägypten,7,Kairo,"(30.079694, 31.323437)",30.079694,31.323437
Belgien,7,Brüssel,"(50.843183, 4.371755)",50.843183,4.371755
Thailand,7,Bangkok,"(13.881591, 100.644533)",13.881591,100.644533
