Staat,Hauptstadt,Kontinent,Coordinates,Latitude,Longitude
Afghanistan,Kabul,Asien,"(34.52813, 69.17233)",34.52813,69.17233
Ägypten,Kairo,Afrika,"(30.079694, 31.323437)",30.079694,31.323437
Albanien,Tirana,Europa,"(41.282045, 19.799067)",41.282045,19.799067
Algerien,Algier,Afrika,"(36.74395, 3.083627)",36.74395,3.083627
Andorra,Andorra la Vella,Europa,"(42.504294, 1.518714)",42.504294,1.518714
Angola,Luanda,Afrika,"(-8.83682, 13.23432)",-8.83682,13.23432
Antigua und Barbuda,St. John’s,Amerika/Westindien,"(17.108788, -61.824679)",17.108788,-61.824679
Äquatorialguinea,Malabo,Afrika,"(3.75, 8.78333)",3.75,8.78333
Argentinien,Buenos Aires,Amerika/Südamerika,"(-34.607357, -58.454595)",-34.607357,-58.454595
Armenien,Jerewan,Asien,"(40.155704, 44.524938)",40.155704,44.524938
Aserbaidschan,Baku,Asien,"(40.378395, 49.840288)",40.378395,49.840288
Äthiopien,Addis Abeba,Afrika,"(9.018947, 38.746032)",9.018947,38.746032
Australien,Canberra,Australien und Ozeanien,"(-35.470057, 148.954507)",-35.470057,148.954507
Bahamas,Nassau,Amerika/Westindien,"(25.05823, -77.34306)",25.05823,-77.34306
Bahrain,Manama,Asien,"(26.219616, 50.581836)",26.219616,50.581836
Bangladesch,Dhaka,Asien,"(23.7104, 90.40744)",23.7104,90.40744
Barbados,Bridgetown,Amerika/Westindien,"(45.533467, -122.650095)",45.533467,-122.650095
Belgien,Brüssel,Europa,"(50.843183, 4.371755)",50.843183,4.371755
Belize,Belmopan,Amerika/Mittelamerika,"(17.25, -88.76667)",17.25,-88.76667
Benin,Porto Novo,Afrika,"(17.023043, -25.216696)",17.023043,-25.216696
Bhutan,Thimphu,Asien,"(27.476634, 89.636102)",27.476634,89.636102
Bolivien,Sucre,Amerika/Südamerika,"(10.264831, -64.236365)",10.264831,-64.236365
Bosnien und Herzegowina,Sarajevo,Europa,"(43.84864, 18.35644)",43.84864,18.35644
