LocationName,Count,Coordinates,Latitude,Longitude
schweiz,183,"(46.730219, 7.509687)",46.730219,7.509687
franken,136,"(47.604235, 7.354778)",47.604235,7.354778
zürich,74,"(47.373754, 8.537087)",47.373754,8.537087
deutschland,62,"(50.970097, 9.687096)",50.970097,9.687096
usa,55,"(39.71614, -96.999246)",39.71614,-96.999246
israel,49,"(30.895128, 34.874702)",30.895128,34.874702
stadt,42,"(48.213128, 16.402508)",48.213128,16.402508
basel,27,"(47.553808, 7.592036)",47.553808,7.592036
europa,27,"(55.859135, 39.579995)",55.859135,39.579995
italien,26,"(45.003229, 11.083693)",45.003229,11.083693
bern,24,"(46.946416, 7.396394)",46.946416,7.396394
china,23,"(32.529746, 106.804852)",32.529746,106.804852
frankreich,21,"(46.714842, 2.464483)",46.714842,2.464483
ukraine,19,"(49.192455, 32.645394)",49.192455,32.645394
brasilien,19,"(-11.929178, -49.542799)",-11.929178,-49.542799
gaza,17,"(31.323666, 34.306795)",31.323666,34.306795
spanien,17,"(40.091214, -3.459133)",40.091214,-3.459133
genf,17,"(46.201511, 6.143889)",46.201511,6.143889
new york,16,"(40.68295, -73.9708)",40.68295,-73.9708
luzern,15,"(47.04791, 8.303928)",47.04791,8.303928
basler,15,"(48.997458, 8.469851)",48.997458,8.469851
berlin,15,"(52.524932, 13.407032)",52.524932,13.407032
berner,14,"(33.15485, -83.82851)",33.15485,-83.82851
paris,14,"(48.858705, 2.342865)",48.858705,2.342865
türkei,14,"(39.339547, 34.51052)",39.339547,34.51052
israels,14,"(59.331952, 18.097002)",59.331952,18.097002
zermatt,13,"(46.025284, 7.747965)",46.025284,7.747965
stadt zürich,11,"(47.404588, 8.572164)",47.404588,8.572164
kosovo,11,"(42.59027, 20.875787)",42.59027,20.875787
london,11,"(51.509648, -0.099076)",51.509648,-0.099076
kanton bern,11,"(46.795593, 7.612694)",46.795593,7.612694
tessin,11,"(46.332097, 8.814564)",46.332097,8.814564
österreich,11,"(47.522617, 14.143702)",47.522617,14.143702
grossbritannien,11,"(52.663642, -1.580326)",52.663642,-1.580326
rio de janeiro,10,"(-22.935024, -43.518246)",-22.935024,-43.518246
australien,10,"(-23.992438, 134.050443)",-23.992438,134.050443
katar,9,"(25.208492, 51.155983)",25.208492,51.155983
kanton zürich,9,"(47.390036, 8.660983)",47.390036,8.660983
japan,9,"(36.13793, 138.441899)",36.13793,138.441899
portugal,9,"(39.07088, -8.22931)",39.07088,-8.22931
kalifornien,9,"(36.531544, -119.586168)",36.531544,-119.586168
iran,9,"(31.931472, 55.245522)",31.931472,55.245522
wallis,8,"(46.195676, 7.676936)",46.195676,7.676936
russland,8,"(63.314433, 93.873642)",63.314433,93.873642
argentinien,8,"(-33.527649, -64.167878)",-33.527649,-64.167878
alpen,8,"(51.577495, 6.516976)",51.577495,6.516976
rumänien,8,"(45.727467, 24.984517)",45.727467,24.984517
zug,8,"(47.165074, 8.51961)",47.165074,8.51961
rom,8,"(41.878243, 12.528091)",41.878243,12.528091
matterhorn,8,"(41.810741, -115.375345)",41.810741,-115.375345
