City,Count,Coordinates,Longitude,Latitude
zurich ,130,"(47.373754, 8.537087)",8.537087,47.373754
basel ,57,"(47.553808, 7.592036)",7.592036,47.553808
bern ,47,"(46.946416, 7.396394)",7.396394,46.946416
st. gallen ,38,"(47.115369, 9.331092)",9.331092,47.115369
zug ,29,"(47.165074, 8.51961)",8.51961,47.165074
luzern ,26,"(47.04791, 8.303928)",8.303928,47.04791
genf ,18,"(46.201511, 6.143889)",6.143889,46.201511
baden ,9,"(37.653515, -122.344612)",-122.344612,37.653515
freiburg ,9,"(46.805487, 7.162118)",7.162118,46.805487
schaffhausen ,8,"(47.702296, 8.627974)",8.627974,47.702296
winterthur ,8,"(47.499693, 8.728495)",8.728495,47.499693
solothurn ,8,"(47.2081, 7.5163)",7.5163,47.2081
lugano ,7,"(46.009425, 8.941339)",8.941339,46.009425
lausanne ,7,"(46.520381, 6.63141)",6.63141,46.520381
thun ,6,"(46.753651, 7.625314)",7.625314,46.753651
spreitenbach,5,"(47.418359, 8.369214)",8.369214,47.418359
glarus,5,"(47.041178, 9.070819)",9.070819,47.041178
wil ,5,"(47.46152, 9.04552)",9.04552,47.46152
chur ,5,"(46.850722, 9.53171)",9.53171,46.850722
aarau ,5,"(47.391687, 8.053387)",8.053387,47.391687
ittigen,5,"(46.980255, 7.478193)",7.478193,46.980255
kreuzlingen,4,"(47.641449, 9.171512)",9.171512,47.641449
frauenfeld ,4,"(47.559016, 8.897041)",8.897041,47.559016
wald,3,"(47.27259, 8.914172)",8.914172,47.27259
schwyz ,3,"(46.730219, 7.509687)",7.509687,46.730219
munsingen,3,"(48.409976, 9.496439)",9.496439,48.409976
liestal ,3,"(47.481766, 7.731582)",7.731582,47.481766
neuenburg ,3,"(46.991046, 6.931647)",6.931647,46.991046
einsiedeln,3,"(47.129714, 8.745461)",8.745461,47.129714
davos,3,"(46.759179, 9.835859)",9.835859,46.759179
kloten,3,"(47.45152, 8.58491)",8.58491,47.45152
lenzburg ,3,"(47.388748, 8.17853)",8.17853,47.388748
arbon ,3,"(47.514603, 9.432618)",9.432618,47.514603
wallisellen,2,"(47.41499, 8.59672)",8.59672,47.41499
montreux,2,"(46.43423, 6.911558)",6.911558,46.43423
olten ,2,"(47.349106, 7.910283)",7.910283,47.349106
muri bei bern,2,"(46.930739, 7.500468)",7.500468,46.930739
muttenz,2,"(47.523393, 7.648065)",7.648065,47.523393
flawil,2,"(47.41568, 9.189439)",9.189439,47.41568
weinfelden,2,"(47.566894, 9.104073)",9.104073,47.566894
pratteln,2,"(47.518095, 7.689088)",7.689088,47.518095
sursee ,2,"(47.175697, 8.10871)",8.10871,47.175697
bulach ,2,"(47.52357, 8.53692)",8.53692,47.52357
dietikon,2,"(47.40165, 8.40015)",8.40015,47.40165
baar,1,"(47.197215, 8.522267)",8.522267,47.197215
burgdorf ,1,"(52.143747, 10.216521)",10.216521,52.143747
birsfelden,1,"(47.550784, 7.636283)",7.636283,47.550784
lyss,1,"(47.073977, 7.306518)",7.306518,47.073977
pfaffikon,1,"(47.36689, 8.785993)",8.785993,47.36689
oberwil ,1,"(47.516869, 7.550769)",7.550769,47.516869
steinhausen,1,"(47.195526, 8.478206)",8.478206,47.195526
bassersdorf,1,"(47.438771, 8.625914)",8.625914,47.438771
herisau,1,"(47.390936, 9.279804)",9.279804,47.390936
brugg ,1,"(47.483043, 8.204365)",8.204365,47.483043
martigny ,1,"(46.103064, 7.079643)",7.079643,46.103064
wettingen,1,"(47.469611, 8.330836)",8.330836,47.469611
sarnen ,1,"(46.895035, 8.248186)",8.248186,46.895035
volketswil,1,"(47.389523, 8.673712)",8.673712,47.389523
horgen,1,"(47.261948, 8.596927)",8.596927,47.261948
wadenswil,1,"(47.229508, 8.671706)",8.671706,47.229508
opfikon,1,"(47.43169, 8.57588)",8.57588,47.43169
richterswil,1,"(47.205187, 8.706905)",8.706905,47.205187
kriens,1,"(47.03537, 8.27631)",8.27631,47.03537
cham,1,"(49.221966, 12.662355)",12.662355,49.221966
schlieren,1,"(47.39668, 8.44763)",8.44763,47.39668
bulle ,1,"(46.618011, 7.055307)",7.055307,46.618011
ruti,1,"(47.259754, 8.849946)",8.849946,47.259754
riehen,1,"(47.579484, 7.651243)",7.651243,47.579484
sitten ,1,"(46.230456, 7.363129)",7.363129,46.230456
hinwil,1,"(47.299839, 8.839614)",8.839614,47.299839
payerne ,1,"(46.820755, 6.938857)",6.938857,46.820755
reinach,1,"(47.258426, 8.179858)",8.179858,47.258426
dubendorf,1,"(47.39724, 8.61872)",8.61872,47.39724
uster,1,"(47.351078, 8.717768)",8.717768,47.351078
gossau,1,"(47.411712, 9.251598)",9.251598,47.411712
gossau,1,"(47.411712, 9.251598)",9.251598,47.411712
buchs,1,"(47.16743, 9.47794)",9.47794,47.16743
